Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,0,28,0,0,28
3/13/2020,16,0,0,44,0,0,44
3/14/2020,13,0,0,57,0,0,57
3/15/2020,16,0,0,73,0,0,73
3/16/2020,12,0,0,85,0,0,85
3/17/2020,25,1,0,110,1,0,109
3/18/2020,87,2,0,197,3,0,194
3/19/2020,87,2,0,284,5,0,279
3/20/2020,110,0,4,394,5,4,385
3/21/2020,79,0,0,473,5,4,464
3/22/2020,125,1,7,598,6,11,581
3/23/2020,208,3,0,806,9,11,786
3/24/2020,217,3,0,1023,12,11,1000
3/25/2020,132,3,0,1155,15,11,1129
3/26/2020,433,5,0,1588,20,11,1557
3/27/2020,362,6,0,1950,26,11,1913
3/28/2020,379,4,0,2329,30,11,2288
3/29/2020,479,8,58,2808,38,69,2701
3/30/2020,98,3,38,2906,41,107,2758
3/31/2020,760,15,0,3666,56,107,3503
4/1/2020,402,4,0,4068,60,107,3901
4/2/2020,755,17,0,4823,77,107,4639
4/3/2020,835,20,143,5658,97,250,5311
4/4/2020,701,14,299,6359,111,549,5699
4/5/2020,686,22,126,7045,133,675,6237
4/6/2020,1043,18,83,8088,151,758,7179
4/7/2020,851,16,0,8939,167,758,8014
4/8/2020,1126,28,12,10065,195,770,9100
4/9/2020,1361,27,456,11426,222,1226,9978
4/10/2020,760,26,359,12186,248,1585,10353
4/11/2020,1019,19,32,13205,267,1617,11321
4/12/2020,435,11,397,13640,278,2014,11348
4/13/2020,637,17,0,14277,295,2014,11968
4/14/2020,736,50,566,15013,345,2580,12088
4/15/2020,996,30,570,16009,375,3150,12484
4/16/2020,629,29,527,16638,404,3677,12557
4/17/2020,1122,35,513,17760,439,4190,13131
4/18/2020,919,30,616,18679,469,4806,13404
4/19/2020,638,30,0,19317,499,4806,14012
4/20/2020,505,6,0,19822,505,4806,14511
4/21/2020,774,23,0,20596,528,4806,15262
4/22/2020,862,22,594,21458,550,5400,15508
4/23/2020,935,26,800,22393,576,6200,15617
4/24/2020,777,25,1825,23170,601,8025,14544
4/25/2020,1025,40,1961,24195,641,9986,13568
4/26/2020,786,13,0,24981,654,9986,14341
4/27/2020,535,18,1184,25516,672,11170,13674
4/28/2020,655,18,0,26171,690,11170,14311
4/29/2020,1395,59,616,27566,749,11786,15031
4/30/2020,889,53,721,28455,802,12507,15146
5/1/2020,1438,47,0,29893,849,12507,16537
5/2/2020,1249,25,2384,31142,874,14891,15377
5/3/2020,851,14,653,31993,888,15544,15561
5/4/2020,1034,27,1077,33027,915,16621,15491
5/5/2020,1211,45,44,34238,960,16665,16613
5/6/2020,1092,46,1022,35330,1006,17687,16637
5/7/2020,1220,23,1020,36550,1029,18707,16814
5/8/2020,1177,50,897,37727,1079,19604,17044
5/9/2020,915,32,3985,38642,1111,23589,13942
5/10/2020,1248,22,0,39890,1133,23589,15168
5/11/2020,965,20,3,40855,1153,23592,16110
5/12/2020,1011,26,659,41866,1179,24251,16436
5/13/2020,1636,38,-568,43502,1217,23683,18602
5/14/2020,1273,41,832,44775,1258,24515,19002
5/15/2020,2012,50,1695,46787,1308,26210,19269
5/16/2020,885,32,660,47672,1340,26870,19462
5/17/2020,1005,20,700,48677,1360,27570,19747
5/18/2020,1007,9,438,49684,1369,28008,20307
5/19/2020,988,33,455,50672,1402,28463,20807
5/20/2020,979,21,1913,51651,1423,30376,19852
5/21/2020,1856,63,1409,53507,1486,31785,20236
5/22/2020,1109,26,492,54616,1512,32277,20827
5/23/2020,869,15,190,55485,1527,32467,21491
5/24/2020,681,8,26,56166,1535,32493,22138
5/25/2020,527,7,2856,56693,1542,35349,19802
5/26/2020,1051,21,1056,57744,1563,36405,19776
5/27/2020,1377,39,1535,59121,1602,37940,19579
5/28/2020,1669,21,968,60790,1623,38908,20259
5/29/2020,1336,31,1229,62126,1654,40137,20335
5/30/2020,1290,25,1514,63416,1679,41651,20086
5/31/2020,1483,7,772,64899,1686,42423,20790
6/1/2020,1130,13,915,66029,1699,43338,20992
6/2/2020,1944,36,1179,67973,1735,44517,21721
6/3/2020,1464,33,1342,69437,1768,45859,21810
6/4/2020,1769,32,998,71206,1800,46857,22549
6/5/2020,2080,28,1008,73286,1828,47865,23593
6/6/2020,1542,19,1030,74828,1847,48895,24086
6/7/2020,935,6,2710,75763,1853,51605,24152
6/8/2020,1486,15,687,77249,1868,52292,24942
6/9/2020,1748,24,716,78997,1892,53008,25965
6/10/2020,2437,28,1357,81434,1920,54365,27041
6/11/2020,2023,25,27,83457,1945,54392,29040
6/12/2020,2184,21,2853,85641,1966,57245,28375
6/13/2020,2262,23,1256,87903,1989,58501,29379
6/14/2020,1339,7,1829,89242,1996,60330,28905
6/15/2020,2138,20,770,91380,2016,61100,30260
6/16/2020,4413,46,1560,95793,2062,62660,33087
