Date,New Cases,New Deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/1/2020,3,0,0,3,0,0,3
3/2/2020,0,0,0,3,0,0,3
3/3/2020,0,0,0,3,0,0,3
3/4/2020,0,0,0,3,0,0,3
3/5/2020,3,0,0,6,0,0,6
3/6/2020,0,0,0,6,0,0,6
3/7/2020,3,0,0,9,0,0,9
3/8/2020,0,0,0,9,0,0,9
3/9/2020,0,0,0,9,0,0,9
3/10/2020,2,0,0,11,0,0,11
3/11/2020,0,0,3,11,0,3,8
3/12/2020,0,0,0,11,0,3,8
3/13/2020,4,1,0,15,1,3,11
3/14/2020,0,0,0,15,1,3,11
3/15/2020,8,0,3,23,1,6,16
3/16/2020,5,0,0,28,1,6,21
3/17/2020,0,0,0,28,1,6,21
3/18/2020,0,0,0,28,1,6,21
3/19/2020,16,0,0,44,1,6,37
3/20/2020,0,0,0,44,1,6,37
3/21/2020,9,0,4,53,1,10,42
3/22/2020,12,0,0,65,1,10,54
3/23/2020,7,0,0,72,1,10,61
3/24/2020,15,0,0,87,1,10,76
3/25/2020,6,1,0,93,2,10,81
3/26/2020,29,1,5,122,3,15,104
3/27/2020,43,0,0,165,3,15,147
3/28/2020,17,1,0,182,4,15,163
3/29/2020,27,0,0,209,4,15,190
3/30/2020,64,0,11,273,4,26,243
3/31/2020,25,1,0,298,5,26,267
4/1/2020,61,0,0,359,5,26,328
4/2/2020,41,0,0,400,5,26,369
4/3/2020,43,0,6,443,5,32,406
4/4/2020,78,0,0,521,5,32,484
4/5/2020,63,2,0,584,7,32,545
4/6/2020,57,0,12,641,7,44,590
4/7/2020,76,1,0,717,8,44,665
4/8/2020,105,0,19,822,8,63,751
4/9/2020,104,1,38,926,9,101,816
4/10/2020,65,1,58,991,10,159,822
4/11/2020,67,1,41,1058,11,200,847
4/12/2020,40,0,50,1098,11,250,837
4/13/2020,50,1,39,1148,12,289,847
4/14/2020,49,1,62,1197,13,351,833
4/15/2020,56,0,53,1253,13,404,836
4/16/2020,30,2,56,1283,15,460,808
4/17/2020,57,0,68,1340,15,528,797
4/18/2020,33,3,62,1373,18,590,765
4/19/2020,25,1,122,1398,19,712,667
4/20/2020,38,0,79,1436,19,791,626
4/21/2020,44,1,74,1480,20,865,595
4/22/2020,38,0,42,1518,20,907,591
4/23/2020,30,0,41,1548,20,948,580
4/24/2020,44,1,65,1592,21,1013,558
4/25/2020,25,0,67,1617,21,1080,516
4/26/2020,28,0,59,1645,21,1139,485
4/27/2020,33,1,23,1678,22,1162,494
4/28/2020,39,0,59,1717,22,1221,474
4/29/2020,49,1,46,1766,23,1267,476
4/30/2020,38,1,58,1804,24,1325,455
5/1/2020,50,1,40,1854,25,1365,464
5/2/2020,40,0,46,1894,25,1411,458
5/3/2020,38,0,30,1932,25,1441,466
5/4/2020,52,1,39,1984,26,1480,478
5/5/2020,76,0,28,2060,26,1508,526
5/6/2020,67,2,28,2127,28,1536,563
5/7/2020,77,0,15,2204,28,1551,625
5/8/2020,75,0,25,2279,28,1576,675
5/9/2020,143,3,44,2422,31,1620,771
5/10/2020,97,1,30,2519,32,1650,837
5/11/2020,70,0,30,2589,32,1680,877
5/12/2020,104,1,0,2693,33,1680,980
5/13/2020,65,2,109,2758,35,1789,934
5/14/2020,121,0,44,2879,35,1833,1011
5/15/2020,101,1,53,2980,36,1886,1058
5/16/2020,158,0,58,3138,36,1944,1158
5/17/2020,136,3,71,3274,39,2015,1220
5/18/2020,113,1,40,3387,40,2055,1292
5/19/2020,131,1,143,3518,41,2198,1279
5/20/2020,113,2,55,3631,43,2253,1335
5/21/2020,118,1,87,3749,44,2340,1365
5/22/2020,106,2,59,3855,46,2399,1410
5/23/2020,127,3,107,3982,49,2506,1427
5/24/2020,140,0,101,4122,49,2607,1466
5/25/2020,149,2,134,4271,51,2741,1479
5/26/2020,132,1,78,4403,52,2819,1532
5/27/2020,165,2,78,4568,54,2897,1617
5/28/2020,191,2,125,4759,56,3022,1681
5/29/2020,230,2,103,4989,58,3125,1806
5/30/2020,257,3,202,5246,61,3327,1858
5/31/2020,248,2,101,5494,63,3428,2003
6/1/2020,168,5,80,5662,68,3508,2086
6/2/2020,273,3,56,5935,71,3564,2300
6/3/2020,325,5,101,6260,76,3665,2519
6/4/2020,262,2,72,6522,78,3737,2707
6/5/2020,338,4,134,6860,82,3871,2907
6/6/2020,379,2,153,7239,84,4024,3131
6/7/2020,314,4,209,7553,88,4233,3316
6/8/2020,323,5,232,7876,93,4465,3406
6/9/2020,315,5,34,8191,98,4499,3687
6/10/2020,339,4,319,8530,102,4818,3708
6/11/2020,352,6,214,8882,108,5032,3844
6/12/2020,336,5,192,9218,113,5224,3989
6/13/2020,352,2,198,9570,115,5422,4146
6/14/2020,387,4,276,9957,119,5698,4255
6/15/2020,367,3,160,10324,122,5858,4463
6/16/2020,338,4,212,10662,126,6070,4588
