Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,2,32,0,0,30
3/13/2020,14,0,2,46,0,2,44
3/14/2020,18,0,0,64,0,2,62
3/15/2020,29,0,0,93,0,2,91
3/16/2020,12,0,0,105,0,2,103
3/17/2020,56,0,1,161,0,3,158
3/18/2020,127,0,0,288,0,3,285
3/19/2020,134,3,0,422,3,3,416
3/20/2020,163,0,4,585,3,7,578
3/21/2020,168,1,0,753,4,7,745
3/22/2020,296,3,1,1049,7,8,1038
3/23/2020,236,3,3,1285,10,11,1271
3/24/2020,250,4,3,1535,14,14,1517
3/25/2020,330,3,4,1865,17,18,1844
3/26/2020,673,7,3,2538,24,21,2510
3/27/2020,488,8,7,3026,32,28,2990
3/28/2020,465,13,8,3491,45,36,3442
3/29/2020,1105,18,13,4596,63,49,4529
3/30/2020,461,8,18,5057,71,67,4982
3/31/2020,937,26,8,5994,97,75,5893
4/1/2020,986,42,26,6980,139,101,6837
4/2/2020,715,16,42,7695,155,143,7536
4/3/2020,1209,53,16,8904,208,159,8692
4/4/2020,1453,33,53,10357,241,212,10112
4/5/2020,899,31,81,11256,272,293,10932
4/6/2020,1006,33,31,12262,305,324,11905
4/7/2020,1287,73,33,13549,378,357,13119
4/8/2020,1529,82,73,15078,460,430,14566
4/9/2020,1344,66,82,16422,526,512,15844
4/10/2020,1465,68,66,17887,594,578,17241
4/11/2020,1293,81,68,19180,675,646,18453
4/12/2020,1672,43,81,20852,718,727,20082
4/13/2020,1173,74,43,22025,792,770,21181
4/14/2020,1222,74,74,23247,866,844,22329
4/15/2020,1346,80,75,24593,946,919,23594
4/16/2020,1140,124,79,25733,1070,998,24611
4/17/2020,1842,62,124,27575,1132,1122,26391
4/18/2020,1585,125,62,29160,1257,1184,27851
4/19/2020,1197,31,681,30357,1288,1865,28461
4/20/2020,1151,59,31,31508,1347,1896,29553
4/21/2020,1551,119,59,33059,1466,1955,30985
4/22/2020,2049,97,119,35108,1563,2074,32937
4/23/2020,1826,123,97,36934,1686,2171,34640
4/24/2020,2724,107,123,39658,1793,2294,37257
4/25/2020,2119,79,107,41777,1872,2401,39297
4/26/2020,2126,59,79,43903,1931,2480,41364
4/27/2020,1980,50,59,45883,1981,2539,43294
4/28/2020,2219,142,50,48102,2123,2589,45371
4/29/2020,2253,90,142,50355,2213,2731,47534
4/30/2020,2563,140,90,52918,2353,2821,49957
5/1/2020,3137,102,140,56055,2455,2961,52992
5/2/2020,2450,102,102,58505,2557,3063,55340
5/3/2020,2994,59,102,61499,2616,3165,58275
5/4/2020,2341,44,98,63840,2660,3263,60533
5/5/2020,2122,176,44,65962,2836,3307,62479
5/6/2020,2270,136,176,68232,2972,3483,64613
5/7/2020,2641,137,134,70873,3109,3617,67119
5/8/2020,2887,130,139,73760,3239,3756,69874
5/9/2020,2325,108,130,76085,3347,3886,72091
5/10/2020,1656,57,108,77741,3404,3994,73690
5/11/2020,1266,53,57,79007,3457,4051,74903
5/12/2020,4014,142,962,83021,3599,5013,77866
5/13/2020,1677,191,418,84698,3790,5431,79076
5/14/2020,3239,136,191,87937,3926,5622,82179
5/15/2020,2432,130,398,90369,4056,6020,84219
5/16/2020,2088,71,206,92457,4127,6226,86160
5/17/2020,1734,48,71,94191,4175,6297,87846
5/18/2020,2294,57,48,96485,4232,6345,90083
5/19/2020,1545,145,55,98030,4377,6400,91485
5/20/2020,2388,146,145,100418,4523,6545,93727
5/21/2020,2268,82,270,102686,4605,6815,95789
5/22/2020,2758,108,1145,105444,4713,7960,97376
5/23/2020,2352,75,108,107796,4788,8068,99653
5/24/2020,2508,66,75,110304,4854,8143,102095
5/25/2020,1713,28,328,112017,4882,8471,103518
5/26/2020,1178,39,28,113195,4921,8499,104657
5/27/2020,1111,160,39,114306,5081,8538,105608
5/28/2020,1527,103,160,115833,5184,8698,107032
5/29/2020,1622,84,130,117455,5268,8828,108543
5/30/2020,1462,60,57144,118917,5328,65972,52885
5/31/2020,1343,60,1343,120260,5388,67315,52885
6/1/2020,974,22,60,121234,5410,67375,53837
6/2/2020,1614,113,1574,122848,5523,68949,53786
6/3/2020,982,96,1217,123830,5619,70166,53568
6/4/2020,929,115,1419,124759,5734,71585,53059
6/5/2020,1156,59,793,125915,5793,72378,53478
6/6/2020,975,69,853,126890,5862,73231,53590
6/7/2020,867,40,529,127757,5902,73760,53957
6/8/2020,658,20,270,128415,5922,74030,54365
6/9/2020,797,94,1101,129212,6016,75131,53987
6/10/2020,625,77,979,129837,6093,76110,53650
6/11/2020,766,90,1112,130603,6183,77222,53291
6/12/2020,595,75,12132,131198,6258,89354,41769
6/13/2020,673,29,459,131871,6287,89813,42029
6/14/2020,672,19,282,132543,6306,90095,42429
6/15/2020,473,18,258,133016,6324,90353,42645
6/16/2020,623,72,975,133639,6396,91328,42239
