Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,0,0,0,0,0
3/13/2020,4,0,0,4,0,0,4
3/14/2020,2,0,0,6,0,0,6
3/15/2020,3,0,0,9,0,0,9
3/16/2020,1,0,0,10,0,0,10
3/17/2020,23,0,0,33,0,0,33
3/18/2020,3,0,0,36,0,0,36
3/19/2020,8,0,0,44,0,0,44
3/20/2020,8,0,0,52,0,0,52
3/21/2020,2,0,0,54,0,0,54
3/22/2020,6,0,0,60,0,0,60
3/23/2020,2,0,0,62,0,0,62
3/24/2020,10,0,0,72,0,0,72
3/25/2020,9,0,0,81,0,0,81
3/26/2020,32,1,2,113,1,2,110
3/27/2020,37,0,2,150,1,4,146
3/28/2020,78,0,13,228,1,17,211
3/29/2020,56,0,4,284,1,21,263
3/30/2020,18,0,1,302,1,22,280
3/31/2020,41,1,3,343,2,25,317
4/1/2020,37,1,3,380,3,28,351
4/2/2020,55,0,2,435,3,30,405
4/3/2020,29,0,2,464,3,32,432
4/4/2020,67,2,7,531,5,39,490
4/5/2020,53,1,8,584,6,47,536
4/6/2020,78,0,5,662,6,52,610
4/7/2020,35,0,5,697,6,57,640
4/8/2020,30,1,3,727,7,60,666
4/9/2020,54,1,7,781,8,67,713
4/10/2020,31,2,5,812,10,72,738
4/11/2020,53,0,19,865,10,91,774
4/12/2020,86,0,16,951,10,107,844
4/13/2020,140,2,41,1091,12,148,941
4/14/2020,141,2,67,1232,14,215,1015
4/15/2020,63,2,39,1295,16,254,1039
4/16/2020,107,1,39,1402,17,293,1108
4/17/2020,144,0,71,1546,17,364,1182
4/18/2020,69,0,30,1615,17,394,1221
4/19/2020,61,0,23,1676,17,417,1259
4/20/2020,176,2,47,1852,19,464,1386
4/21/2020,143,0,44,1995,19,508,1487
4/22/2020,140,0,26,2135,19,534,1601
4/23/2020,154,1,45,2289,20,579,1709
4/24/2020,127,5,45,2416,25,624,1787
4/25/2020,185,0,47,2601,25,671,1930
4/26/2020,116,0,36,2717,25,707,2010
4/27/2020,118,0,38,2835,25,745,2090
4/28/2020,192,0,54,3027,25,799,2228
4/29/2020,111,0,45,3138,25,844,2294
4/30/2020,264,0,47,3402,25,891,2511
5/1/2020,195,0,56,3597,25,947,2650
5/2/2020,260,0,63,3857,25,1010,2847
5/3/2020,63,2,99,3920,27,1109,2809
5/4/2020,129,2,91,4049,29,1200,2847
5/5/2020,156,0,108,4205,29,1308,2897
5/6/2020,217,1,129,4422,30,1437,2984
5/7/2020,156,0,111,4578,30,1548,3030
5/8/2020,256,1,113,4834,31,1661,3172
5/9/2020,141,0,146,4975,31,1807,3168
5/10/2020,115,0,165,5090,31,1972,3118
5/11/2020,117,1,133,5207,32,2105,3101
5/12/2020,72,0,150,5279,32,2255,3024
5/13/2020,138,0,185,5417,32,2440,2977
5/14/2020,154,0,123,5571,32,2563,3008
5/15/2020,118,2,176,5689,34,2739,2948
5/16/2020,161,0,275,5850,34,3014,2836
5/17/2020,307,0,276,6157,34,3290,2867
5/18/2020,283,1,213,6440,35,3503,2936
5/19/2020,311,0,130,6751,35,3633,3118
5/20/2020,218,0,136,6969,35,3769,3200
5/21/2020,265,0,109,7234,35,3878,3356
5/22/2020,363,0,253,7597,35,4131,3466
5/23/2020,322,0,118,7919,35,4249,3670
5/24/2020,403,0,138,8322,35,4387,3935
5/25/2020,209,0,163,8531,35,4550,3981
5/26/2020,438,2,98,8969,37,4648,4319
5/27/2020,335,0,157,9304,37,4805,4499
5/28/2020,272,0,132,9576,37,4937,4639
5/29/2020,356,0,157,9932,37,5094,4838
5/30/2020,450,1,163,10382,38,5257,5124
5/31/2020,476,2,185,10858,40,5442,5414
6/1/2020,450,1,185,11308,41,5627,5680
6/2/2020,263,3,355,11571,44,5982,5586
6/3/2020,225,4,302,11796,48,6284,5508
6/4/2020,271,4,370,12067,52,6654,5409
6/5/2020,245,0,301,12312,52,6955,5357
6/6/2020,199,1,232,12511,53,7187,5323
6/7/2020,183,0,242,12694,53,7429,5265
6/8/2020,165,3,0,12859,56,7429,5427
6/9/2020,215,5,642,13074,61,8071,4998
6/10/2020,245,6,335,13319,67,8406,4907
6/11/2020,239,0,254,13558,67,8660,4898
6/12/2020,314,3,236,13872,70,8896,4973
6/13/2020,366,3,3,14238,73,8899,5336
6/14/2020,258,4,362,14496,77,9261,5231
6/15/2020,313,4,192,14809,81,9453,5352
6/16/2020,383,7,275,15192,88,9728,5457
