Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,1,108,0,1,107
3/13/2020,15,0,0,123,0,1,122
3/14/2020,15,0,0,138,0,1,137
3/15/2020,26,0,0,164,0,1,163
3/16/2020,33,0,0,197,0,1,196
3/17/2020,21,0,0,218,0,1,217
3/18/2020,38,0,0,256,0,1,255
3/19/2020,72,0,0,328,0,1,327
3/20/2020,85,0,1,413,0,2,411
3/21/2020,112,0,0,525,0,2,523
3/22/2020,121,4,0,646,4,2,640
3/23/2020,131,4,4,777,8,6,767
3/24/2020,382,0,6,1159,8,12,1147
3/25/2020,679,4,0,1838,12,12,1822
3/26/2020,579,10,4,2417,22,16,2391
3/27/2020,823,10,10,3240,32,26,3204
3/28/2020,1017,9,10,4257,41,36,4212
3/29/2020,698,4,9,4955,45,45,4906
3/30/2020,797,8,13,5752,53,58,5686
3/31/2020,868,33,8,6620,86,66,6521
4/1/2020,1118,33,33,7738,119,99,7606
4/2/2020,1228,32,33,8966,151,132,8802
4/3/2020,1436,38,32,10402,189,164,10200
4/4/2020,1334,24,38,11736,213,202,11510
4/5/2020,764,15,24,12500,228,226,12259
4/6/2020,1337,29,15,13837,257,241,13567
4/7/2020,1365,96,29,15202,353,270,14836
4/8/2020,1588,77,96,16790,430,366,16347
4/9/2020,2151,70,77,18941,500,443,18428
4/10/2020,2033,96,70,20974,596,513,20365
4/11/2020,1886,87,815,22860,683,1328,21445
4/12/2020,2615,70,87,25475,753,1415,23990
4/13/2020,1392,88,70,26867,841,1485,25294
4/14/2020,1296,113,88,28163,954,1573,26477
4/15/2020,1755,151,113,29918,1105,1686,28081
4/16/2020,2263,137,7540,32181,1242,9226,22818
4/17/2020,2221,159,137,34402,1401,9363,24880
4/18/2020,1970,156,742,36372,1557,10105,26111
4/19/2020,1705,146,744,38077,1703,10849,27082
4/20/2020,1566,103,739,39643,1806,11588,27952
4/21/2020,1556,152,701,41199,1958,12289,28758
4/22/2020,1745,221,755,42944,2179,13044,29679
4/23/2020,3079,178,829,46023,2357,13873,31972
4/24/2020,4946,196,791,50969,2553,14664,36109
4/25/2020,2379,174,814,53348,2727,15478,37696
4/26/2020,1590,169,797,54938,2896,16275,38494
4/27/2020,1524,104,797,56462,3000,17072,39286
4/28/2020,1840,150,737,58302,3150,17809,40343
4/29/2020,1963,252,788,60265,3402,18597,41416
4/30/2020,1940,157,895,62205,3559,19492,42556
5/1/2020,2106,154,796,64311,3713,20288,43869
5/2/2020,1952,130,798,66263,3843,21086,45047
5/3/2020,1824,158,770,68087,4001,21856,46073
5/4/2020,1000,86,803,69087,4087,22659,46342
5/5/2020,1184,122,727,70271,4209,23386,46763
5/6/2020,1754,208,768,72025,4417,24154,47663
5/7/2020,1696,132,850,73721,4549,25004,48585
5/8/2020,1612,150,1422,75333,4699,26426,48757
5/9/2020,1410,138,424,76743,4837,26850,49755
5/10/2020,1050,139,138,77793,4976,26988,50666
5/11/2020,669,129,139,78462,5105,27127,51206
5/12/2020,870,33,129,79332,5138,27256,52043
5/13/2020,1165,174,5697,80497,5312,32953,47370
5/14/2020,1685,167,174,82182,5479,33127,48888
5/15/2020,1239,110,113,83421,5589,33240,50071
5/16/2020,1512,113,164,84933,5702,33404,51416
5/17/2020,1077,92,113,86010,5794,33517,52401
5/18/2020,1042,65,92,87052,5859,33609,53378
5/19/2020,873,76,65,87925,5935,33674,54175
5/20/2020,1045,128,76,88970,6063,33750,55092
5/21/2020,1114,82,6155,90084,6145,39905,50097
5/22/2020,805,80,1437,90889,6225,41342,49467
5/23/2020,773,76,1488,91662,6301,42830,48756
5/24/2020,1013,68,1541,92675,6369,44371,48236
5/25/2020,596,44,1592,93271,6413,45963,47264
5/26/2020,422,57,1628,93693,6470,47591,46045
5/27/2020,527,74,1705,94220,6544,49296,44850
5/28/2020,675,93,1788,94895,6637,51084,43718
5/29/2020,617,78,1910,95512,6715,52994,42440
5/30/2020,789,50,78,96301,6765,53072,43179
5/31/2020,664,78,50,96965,6843,53122,43765
6/1/2020,3840,189,78,100805,7032,53200,47416
6/2/2020,358,50,189,101163,7082,53389,47724
6/3/2020,429,67,31804,101592,7149,85193,16332
6/4/2020,471,49,67,102063,7198,85260,16754
6/5/2020,494,34,49,102557,7232,85309,17214
6/6/2020,575,54,34,103132,7286,85343,17735
6/7/2020,304,27,54,103436,7313,85397,18012
6/8/2020,190,37,27,103626,7350,85424,18165
6/9/2020,263,55,37,103889,7405,85461,18373
6/10/2020,267,46,6568,104156,7451,92029,12081
6/11/2020,511,38,46,104667,7489,92075,12554
6/12/2020,392,46,38,105059,7535,92113,12900
6/13/2020,336,38,46,105395,7573,92159,13198
6/14/2020,208,48,38,105603,7621,92197,13358
6/15/2020,87,23,48,105690,7644,92245,13422
6/16/2020,195,18,23,105885,7662,92268,13599
