Date,New Cases,New Deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
2/24/2020,2,0,0,2,0,0,2
2/25/2020,0,0,0,2,0,0,2
2/26/2020,2,0,0,4,0,0,4
2/27/2020,0,0,0,4,0,0,4
2/28/2020,0,0,0,4,0,0,4
2/29/2020,2,0,1,6,0,1,5
3/1/2020,0,0,0,6,0,1,5
3/2/2020,0,0,0,6,0,1,5
3/3/2020,6,0,1,12,0,2,10
3/4/2020,3,0,0,15,0,2,13
3/5/2020,1,0,0,16,0,2,14
3/6/2020,0,0,0,16,0,2,14
3/7/2020,0,0,0,16,0,2,14
3/8/2020,0,0,0,16,0,2,14
3/9/2020,0,0,0,16,0,2,14
3/10/2020,2,0,7,18,0,9,9
3/11/2020,0,0,0,18,0,9,9
3/12/2020,0,0,0,18,0,9,9
3/13/2020,1,0,0,19,0,9,10
3/14/2020,0,0,0,19,0,9,10
3/15/2020,3,0,0,22,0,9,13
3/16/2020,0,0,0,22,0,9,13
3/17/2020,2,0,0,24,0,9,15
3/18/2020,15,0,3,39,0,12,27
3/19/2020,9,0,0,48,0,12,36
3/20/2020,0,0,0,48,0,12,36
3/21/2020,4,0,0,52,0,12,40
3/22/2020,3,0,5,55,0,17,38
3/23/2020,11,0,0,66,0,17,49
3/24/2020,18,0,0,84,0,17,67
3/25/2020,15,0,0,99,0,17,82
3/26/2020,10,0,6,109,0,23,86
3/27/2020,22,0,0,131,0,23,108
3/28/2020,21,0,0,152,0,23,129
3/29/2020,15,0,0,167,0,23,144
3/30/2020,12,0,6,179,0,29,150
3/31/2020,13,1,5,192,1,34,157
4/1/2020,18,0,0,210,1,34,175
4/2/2020,21,0,23,231,1,57,173
4/3/2020,21,0,0,252,1,57,194
4/4/2020,25,1,4,277,2,61,214
4/5/2020,21,0,0,298,2,61,235
4/6/2020,33,0,0,331,2,61,268
4/7/2020,40,0,6,371,2,67,302
4/8/2020,48,0,5,419,2,72,345
4/9/2020,38,1,37,457,3,109,345
4/10/2020,27,0,0,484,3,109,372
4/11/2020,62,0,0,546,3,109,434
4/12/2020,53,1,0,599,4,109,486
4/13/2020,128,0,15,727,4,124,599
4/14/2020,86,0,6,813,4,130,679
4/15/2020,97,0,1,910,4,131,775
4/16/2020,109,0,45,1019,4,176,839
4/17/2020,50,2,0,1069,6,176,887
4/18/2020,111,0,0,1180,6,176,998
4/19/2020,86,1,57,1266,7,233,1026
4/20/2020,144,0,5,1410,7,238,1165
4/21/2020,98,1,0,1508,8,238,1262
4/22/2020,106,0,0,1614,8,238,1368
4/23/2020,102,1,69,1716,9,307,1400
4/24/2020,74,1,18,1790,10,325,1455
4/25/2020,115,0,4,1905,10,329,1566
4/26/2020,93,0,4,1998,10,333,1655
4/27/2020,51,0,31,2049,10,364,1675
4/28/2020,82,0,0,2131,10,364,1757
4/29/2020,143,0,0,2274,10,364,1900
4/30/2020,74,1,131,2348,11,495,1842
5/1/2020,99,0,0,2447,11,495,1941
5/2/2020,36,1,255,2483,12,750,1721
5/3/2020,85,0,0,2568,12,750,1806
5/4/2020,69,0,66,2637,12,816,1809
5/5/2020,98,1,42,2735,13,858,1864
5/6/2020,168,0,30,2903,13,888,2002
5/7/2020,55,2,92,2958,15,980,1963
5/8/2020,154,1,45,3112,16,1025,2071
5/9/2020,112,1,43,3224,17,1068,2139
5/10/2020,175,0,49,3399,17,1117,2265
5/11/2020,174,0,133,3573,17,1250,2306
5/12/2020,148,0,0,3721,17,1250,2454
5/13/2020,298,0,39,4019,17,1289,2713
5/14/2020,322,1,14,4341,18,1303,3020
5/15/2020,284,2,47,4625,20,1350,3255
5/16/2020,404,1,86,5029,21,1436,3572
5/17/2020,157,1,29,5186,22,1465,3699
5/18/2020,193,3,31,5379,25,1496,3858
5/19/2020,292,2,78,5671,27,1574,4070
5/20/2020,372,3,87,6043,30,1661,4352
5/21/2020,327,1,160,6370,31,1821,4518
5/22/2020,424,3,0,6794,34,1821,4939
5/23/2020,463,2,27,7257,36,1848,5373
5/24/2020,513,1,85,7770,37,1933,5800
5/25/2020,0,0,0,7770,37,1933,5800
5/26/2020,348,0,134,8118,37,2067,6014
5/27/2020,255,2,110,8373,39,2177,6157
5/28/2020,636,1,0,9009,40,2177,6792
5/29/2020,811,0,219,9820,40,2396,7384
5/30/2020,603,2,0,10423,42,2396,7985
5/31/2020,1014,7,286,11437,49,2682,8706
6/1/2020,786,1,0,12223,50,2682,9491
6/2/2020,576,9,130,12799,59,2812,9928
6/3/2020,738,8,33,13537,67,2845,10625
6/4/2020,779,0,606,14316,67,3451,10798
6/5/2020,770,5,0,15086,72,3451,11563
6/6/2020,930,0,0,16016,72,3451,12493
6/7/2020,866,3,72,16882,75,3523,13356
6/8/2020,604,6,345,17486,81,3868,13612
6/9/2020,712,2,365,18198,83,4233,13963
6/10/2020,689,1,1490,18887,84,5723,13163
6/11/2020,1067,5,984,19954,89,6707,13242
6/12/2020,1117,7,871,21071,96,7578,13486
6/13/2020,1006,3,48,22077,99,7626,14448
6/14/2020,1404,5,927,23481,104,8553,14923
6/15/2020,1043,4,1084,24524,108,9637,14883
6/16/2020,745,6,1560,25269,114,11197,14066
