Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,0,22,0,0,22
3/13/2020,19,0,0,41,0,0,41
3/14/2020,6,0,0,47,0,0,47
3/15/2020,19,0,1,66,0,1,65
3/16/2020,13,0,0,79,0,1,78
3/17/2020,33,0,0,112,0,1,111
3/18/2020,43,0,0,155,0,1,154
3/19/2020,52,0,0,207,0,1,206
3/20/2020,96,0,0,303,0,1,302
3/21/2020,88,0,1,391,0,2,389
3/22/2020,88,1,0,479,1,2,476
3/23/2020,165,3,1,644,4,3,638
3/24/2020,207,1,3,851,5,6,844
3/25/2020,276,4,1,1127,9,7,1116
3/26/2020,560,5,4,1687,14,11,1671
3/27/2020,531,6,5,2218,20,16,2196
3/28/2020,533,12,6,2751,32,22,2717
3/29/2020,668,7,12,3419,39,34,3378
3/30/2020,735,10,7,4154,49,41,4103
3/31/2020,807,12,10,4961,61,51,4898
4/1/2020,1041,11,50,6002,72,101,5890
4/2/2020,1262,16,11,7264,88,112,7136
4/3/2020,1156,12,16,8420,100,128,8280
4/4/2020,1995,34,41,10415,134,169,10212
4/5/2020,1095,14,43,11510,148,212,11284
4/6/2020,1617,29,14,13127,177,226,12872
4/7/2020,1818,71,29,14945,248,255,14619
4/8/2020,1798,64,129,16743,312,384,16295
4/9/2020,1803,46,64,18546,358,448,18052
4/10/2020,1794,86,82,20340,444,530,19724
4/11/2020,1464,55,566,21804,499,1096,20653
4/12/2020,1116,60,55,22920,559,1151,21709
4/13/2020,1372,29,60,24292,588,1211,23052
4/14/2020,1173,106,29,25465,694,1240,24119
4/15/2020,1288,83,106,26753,777,1346,25324
4/16/2020,982,58,83,27735,835,1429,26248
4/17/2020,2186,120,58,29921,955,1487,28314
4/18/2020,1810,145,120,31731,1100,1607,29979
4/19/2020,1003,135,145,32734,1235,1752,30847
4/20/2020,1180,111,135,33914,1346,1887,31916
4/21/2020,1379,127,111,35293,1473,1998,33168
4/22/2020,1599,99,127,36892,1572,2125,34668
4/23/2020,161,111,99,37053,1683,2224,34718
4/24/2020,3096,51,111,40149,1734,2335,37763
4/25/2020,1548,68,51,41697,1802,2386,39243
4/26/2020,1011,19,110,42708,1821,2496,40193
4/27/2020,447,37,19,43155,1858,2515,40603
4/28/2020,1861,200,110,45016,2058,2625,42191
4/29/2020,712,294,200,45728,2352,2825,42609
4/30/2020,2271,187,294,47999,2539,3119,44693
5/1/2020,1643,110,259,49642,2649,3378,46154
5/2/2020,1273,125,110,50915,2774,3488,47302
5/3/2020,1133,55,204,52048,2829,3692,48301
5/4/2020,874,19,122,52922,2848,3814,49089
5/5/2020,985,346,19,53907,3194,3833,49728
5/6/2020,991,151,407,54898,3345,4240,50507
5/7/2020,1104,245,187,56002,3590,4427,51330
5/8/2020,1469,125,245,57471,3715,4672,52674
5/9/2020,1215,81,125,58686,3796,4797,53808
5/10/2020,1370,25,101,60056,3821,4898,55133
5/11/2020,520,18,25,60576,3839,4923,55635
5/12/2020,849,77,5282,61425,3916,10205,51143
5/13/2020,788,229,219,62213,4145,10424,51560
5/14/2020,1007,147,229,63220,4292,10653,52420
5/15/2020,1041,135,152,64261,4427,10805,53321
5/16/2020,1046,60,173,65307,4487,10978,54269
5/17/2020,509,14,231,65816,4501,11209,54593
5/18/2020,858,165,43,66674,4666,11252,55257
5/19/2020,753,83,179,67427,4749,11431,55913
5/20/2020,724,71,176,68151,4820,11607,56473
5/21/2020,1221,98,484,69372,4918,12091,57183
5/22/2020,959,141,30596,70331,5059,42687,27503
5/23/2020,805,82,1894,71136,5141,44581,26473
5/24/2020,545,22,1190,71681,5163,45771,25888
5/25/2020,701,13,996,72382,5176,46767,25602
5/26/2020,494,16,13,72876,5192,46780,26080
5/27/2020,776,128,16,73652,5320,46796,26728
5/28/2020,666,103,3353,74318,5423,50149,24066
5/29/2020,760,68,1254,75078,5491,51403,23607
5/30/2020,716,67,1224,75794,5558,52627,23100
5/31/2020,428,18,1123,76222,5576,53750,22454
6/1/2020,517,20,257,76739,5596,54007,22712
6/2/2020,581,93,430,77320,5689,54437,22790
6/3/2020,558,77,1169,77878,5766,55606,22195
6/4/2020,555,115,1182,78433,5881,56788,21530
6/5/2020,487,86,1165,78920,5967,57953,20881
6/6/2020,594,32,576,79514,5999,58529,20953
6/7/2020,490,9,1142,80004,6008,59671,20324
6/8/2020,433,9,395,80437,6017,60066,20362
6/9/2020,524,67,525,80961,6084,60591,20303
6/10/2020,427,75,383,81388,6159,60974,20339
6/11/2020,548,44,439,81936,6203,61413,20479
6/12/2020,646,43,469,82582,6246,61882,20657
6/13/2020,409,31,438,82991,6277,62320,20640
6/14/2020,308,11,431,83299,6288,62751,20537
6/15/2020,390,32,361,83689,6320,63112,20545
6/16/2020,394,25,460,84083,6345,63572,20486
