Date,New Cases,New Deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/3/2020,1,0,0,1,0,0,1
3/4/2020,0,0,0,1,0,0,1
3/5/2020,0,0,0,1,0,0,1
3/6/2020,0,0,0,1,0,0,1
3/7/2020,0,0,0,1,0,0,1
3/8/2020,0,0,0,1,0,0,1
3/9/2020,0,0,0,1,0,0,1
3/10/2020,0,0,0,1,0,0,1
3/11/2020,0,0,0,1,0,0,1
3/12/2020,0,0,0,1,0,0,1
3/13/2020,2,1,0,3,1,0,2
3/14/2020,0,0,0,3,1,0,2
3/15/2020,0,0,0,3,1,0,2
3/16/2020,4,0,0,7,1,0,6
3/17/2020,7,1,0,14,2,0,12
3/18/2020,0,0,0,14,2,0,12
3/19/2020,2,0,0,16,2,0,14
3/20/2020,13,1,0,29,3,0,26
3/21/2020,18,0,1,47,3,1,43
3/22/2020,26,0,0,73,3,1,69
3/23/2020,0,0,0,73,3,1,69
3/24/2020,24,0,0,97,3,1,93
3/25/2020,48,2,0,145,5,1,139
3/26/2020,51,0,0,196,5,1,190
3/27/2020,114,0,4,310,5,5,300
3/28/2020,46,4,0,356,9,5,342
3/29/2020,119,1,1,475,10,6,459
3/30/2020,73,3,2,548,13,8,527
3/31/2020,97,4,2,645,17,10,618
4/1/2020,149,3,3,794,20,13,761
4/2/2020,103,2,6,897,22,19,856
4/3/2020,175,5,3,1072,27,22,1023
4/4/2020,153,5,3,1225,32,25,1168
4/5/2020,83,5,3,1308,37,28,1243
4/6/2020,11,1,0,1319,38,28,1253
4/7/2020,143,7,0,1462,45,28,1389
4/8/2020,206,7,7,1668,52,35,1581
4/9/2020,224,5,10,1892,57,45,1790
4/10/2020,311,12,16,2203,69,61,2073
4/11/2020,308,4,18,2511,73,79,2359
4/12/2020,266,10,10,2777,83,89,2605
4/13/2020,325,10,8,3102,93,97,2912
4/14/2020,270,5,22,3372,98,119,3155
4/15/2020,392,10,24,3764,108,143,3513
4/16/2020,397,8,43,4161,116,186,3859
4/17/2020,501,9,60,4662,125,246,4291
4/18/2020,444,8,29,5106,133,275,4698
4/19/2020,343,8,72,5449,141,347,4961
4/20/2020,261,10,12,5710,151,359,5200
4/21/2020,415,10,8,6125,161,367,5597
4/22/2020,467,13,57,6592,174,424,5994
4/23/2020,578,13,80,7170,187,504,6479
4/24/2020,477,14,278,7647,201,782,6664
4/25/2020,478,0,0,8125,201,782,7142
4/26/2020,492,8,58,8617,209,840,7568
4/27/2020,392,11,24,9009,220,864,7925
4/28/2020,401,19,128,9410,239,992,8179
4/29/2020,456,11,111,9866,250,1103,8513
4/30/2020,540,11,135,10406,261,1238,8907
5/1/2020,455,11,175,10861,272,1413,9176
5/2/2020,550,7,85,11411,279,1498,9634
5/3/2020,502,9,50,11913,288,1548,10077
5/4/2020,418,15,71,12331,303,1619,10409
5/5/2020,366,13,256,12697,316,1875,10506
5/6/2020,487,11,222,13184,327,2097,10760
5/7/2020,507,13,299,13691,340,2396,10955
5/8/2020,504,21,310,14195,361,2706,11128
5/9/2020,515,15,203,14710,376,2909,11425
5/10/2020,522,15,151,15232,391,3060,11781
5/11/2020,416,17,228,15648,408,3288,11952
5/12/2020,375,17,85,16023,425,3373,12225
5/13/2020,402,14,343,16425,439,3716,12270
5/14/2020,422,17,427,16847,456,4143,12248
5/15/2020,483,20,330,17330,476,4473,12381
5/16/2020,528,21,433,17858,497,4906,12455
5/17/2020,433,17,210,18291,514,5116,12661
5/18/2020,325,21,160,18616,535,5276,12805
5/19/2020,260,13,356,18876,548,5632,12696
5/20/2020,354,16,323,19230,564,5955,12711
5/21/2020,476,15,272,19706,579,6227,12900
5/22/2020,442,9,358,20148,588,6585,12975
5/23/2020,432,17,344,20580,605,6929,13046
5/24/2020,406,12,179,20986,617,7108,13261
5/25/2020,259,6,126,21245,623,7234,13388
5/26/2020,339,21,341,21584,644,7575,13365
5/27/2020,321,14,420,21905,658,7995,13252
5/28/2020,477,11,444,22382,669,8439,13274
5/29/2020,429,10,495,22811,679,8934,13198
5/30/2020,393,17,377,23204,696,9311,13197
5/31/2020,468,12,227,23672,708,9538,13426
6/1/2020,890,16,515,24562,724,10053,13785
6/2/2020,333,9,408,24895,733,10461,13701
6/3/2020,490,9,377,25385,742,10838,13805
6/4/2020,596,13,630,25981,755,11468,13758
6/5/2020,561,15,347,26542,770,11815,13957
6/6/2020,559,15,450,27101,785,12265,14051
6/7/2020,485,11,1153,27586,796,13418,14157
6/8/2020,463,9,152,28049,805,13570,14470
6/9/2020,394,13,226,28443,818,13796,14634
6/10/2020,525,23,370,28968,841,14166,14779
6/11/2020,689,21,395,29657,862,14561,15075
6/12/2020,683,16,447,30340,878,15008,15316
6/13/2020,753,10,425,31093,888,15433,15650
6/14/2020,648,9,116,31741,897,15549,16183
6/15/2020,656,12,180,32397,909,15729,16656
6/16/2020,666,11,287,33063,920,16016,17036
